year,month,c_cpi_u_extended
1937,1,9.6
1937,2,9.6
1937,3,9.7
1937,4,9.7
1937,5,9.8
1937,6,9.8
1937,7,9.9
1937,8,9.9
1937,9,9.9
1937,10,9.9
1937,11,9.9
1937,12,9.8
1938,1,9.7
1938,2,9.6
1938,3,9.6
1938,4,9.7
1938,5,9.6
1938,6,9.6
1938,7,9.6
1938,8,9.6
1938,9,9.6
1938,10,9.5
1938,11,9.5
1938,12,9.5
1939,1,9.6
1939,2,9.5
1939,3,9.5
1939,4,9.4
1939,5,9.4
1939,6,9.4
1939,7,9.4
1939,8,9.4
1939,9,9.6
1939,10,9.6
1939,11,9.6
1939,12,9.6
1940,1,9.4
1940,2,9.5
1940,3,9.5
1940,4,9.5
1940,5,9.5
1940,6,9.6
1940,7,9.5
1940,8,9.5
1940,9,9.5
1940,10,9.5
1940,11,9.5
1940,12,9.6
1941,1,9.6
1941,2,9.6
1941,3,9.7
1941,4,9.7
1941,5,9.8
1941,6,10
1941,7,10
1941,8,10.1
1941,9,10.3
1941,10,10.4
1941,11,10.5
1941,12,10.5
1942,1,10.7
1942,2,10.8
1942,3,10.9
1942,4,11
1942,5,11.1
1942,6,11.1
1942,7,11.2
1942,8,11.2
1942,9,11.2
1942,10,11.4
1942,11,11.4
1942,12,11.5
1943,1,11.5
1943,2,11.5
1943,3,11.7
1943,4,11.9
1943,5,11.9
1943,6,11.9
1943,7,11.9
1943,8,11.8
1943,9,11.9
1943,10,11.9
1943,11,11.9
1943,12,11.9
1944,1,11.9
1944,2,11.9
1944,3,11.9
1944,4,11.9
1944,5,11.9
1944,6,12
1944,7,12.1
1944,8,12.1
1944,9,12.1
1944,10,12.1
1944,11,12.1
1944,12,12.1
1945,1,12.2
1945,2,12.2
1945,3,12.2
1945,4,12.2
1945,5,12.2
1945,6,12.4
1945,7,12.4
1945,8,12.4
1945,9,12.4
1945,10,12.4
1945,11,12.4
1945,12,12.4
1946,1,12.4
1946,2,12.3
1946,3,12.5
1946,4,12.5
1946,5,12.6
1946,6,12.8
1946,7,13.5
1946,8,13.8
1946,9,13.9
1946,10,14.2
1946,11,14.5
1946,12,14.7
1947,1,14.7
1947,2,14.7
1947,3,14.9
1947,4,14.9
1947,5,14.9
1947,6,15
1947,7,15.1
1947,8,15.3
1947,9,15.7
1947,10,15.7
1947,11,15.7
1947,12,15.9
1948,1,16.1
1948,2,16
1948,3,15.9
1948,4,16.2
1948,5,16.2
1948,6,16.4
1948,7,16.6
1948,8,16.6
1948,9,16.6
1948,10,16.6
1948,11,16.4
1948,12,16.4
1949,1,16.3
1949,2,16.2
1949,3,16.2
1949,4,16.3
1949,5,16.2
1949,6,16.3
1949,7,16.1
1949,8,16.2
1949,9,16.3
1949,10,16.1
1949,11,16.2
1949,12,16.1
1950,1,16
1950,2,16
1950,3,16.1
1950,4,16.1
1950,5,16.1
1950,6,16.2
1950,7,16.4
1950,8,16.5
1950,9,16.6
1950,10,16.7
1950,11,16.8
1950,12,17
1951,1,17.3
1951,2,17.5
1951,3,17.6
1951,4,17.6
1951,5,17.6
1951,6,17.6
1951,7,17.6
1951,8,17.6
1951,9,17.8
1951,10,17.8
1951,11,18
1951,12,18
1952,1,18
1952,2,17.9
1952,3,17.9
1952,4,18
1952,5,18
1952,6,18
1952,7,18.2
1952,8,18.2
1952,9,18.2
1952,10,18.2
1952,11,18.2
1952,12,18.2
1953,1,18.1
1953,2,18
1953,3,18.1
1953,4,18.1
1953,5,18.1
1953,6,18.2
1953,7,18.2
1953,8,18.3
1953,9,18.3
1953,10,18.3
1953,11,18.3
1953,12,18.3
1954,1,18.3
1954,2,18.3
1954,3,18.3
1954,4,18.2
1954,5,18.3
1954,6,18.3
1954,7,18.3
1954,8,18.3
1954,9,18.2
1954,10,18.2
1954,11,18.2
1954,12,18.1
1955,1,18.1
1955,2,18.1
1955,3,18.1
1955,4,18.1
1955,5,18.1
1955,6,18.1
1955,7,18.2
1955,8,18.2
1955,9,18.3
1955,10,18.3
1955,11,18.3
1955,12,18.2
1956,1,18.2
1956,2,18.2
1956,3,18.2
1956,4,18.3
1956,5,18.4
1956,6,18.5
1956,7,18.6
1956,8,18.6
1956,9,18.6
1956,10,18.7
1956,11,18.7
1956,12,18.8
1957,1,18.8
1957,2,18.8
1957,3,18.9
1957,4,19
1957,5,19
1957,6,19.1
1957,7,19.2
1957,8,19.2
1957,9,19.2
1957,10,19.2
1957,11,19.3
1957,12,19.3
1958,1,19.5
1958,2,19.5
1958,3,19.6
1958,4,19.7
1958,5,19.7
1958,6,19.7
1958,7,19.8
1958,8,19.7
1958,9,19.7
1958,10,19.7
1958,11,19.8
1958,12,19.7
1959,1,19.7
1959,2,19.7
1959,3,19.7
1959,4,19.7
1959,5,19.7
1959,6,19.8
1959,7,19.9
1959,8,19.9
1959,9,19.9
1959,10,20
1959,11,20
1959,12,20
1960,1,20
1960,2,20.1
1960,3,20.1
1960,4,20.1
1960,5,20.1
1960,6,20.2
1960,7,20.2
1960,8,20.2
1960,9,20.2
1960,10,20.3
1960,11,20.3
1960,12,20.3
1961,1,20.3
1961,2,20.3
1961,3,20.3
1961,4,20.3
1961,5,20.3
1961,6,20.3
1961,7,20.5
1961,8,20.4
1961,9,20.5
1961,10,20.5
1961,11,20.5
1961,12,20.5
1962,1,20.5
1962,2,20.5
1962,3,20.5
1962,4,20.6
1962,5,20.6
1962,6,20.6
1962,7,20.7
1962,8,20.7
1962,9,20.7
1962,10,20.7
1962,11,20.7
1962,12,20.7
1963,1,20.7
1963,2,20.7
1963,3,20.7
1963,4,20.7
1963,5,20.7
1963,6,20.8
1963,7,20.9
1963,8,20.9
1963,9,20.9
1963,10,20.9
1963,11,20.9
1963,12,21
1964,1,21
1964,2,21
1964,3,21
1964,4,21
1964,5,21
1964,6,21.1
1964,7,21.2
1964,8,21.1
1964,9,21.2
1964,10,21.2
1964,11,21.2
1964,12,21.2
1965,1,21.2
1965,2,21.2
1965,3,21.3
1965,4,21.3
1965,5,21.3
1965,6,21.5
1965,7,21.5
1965,8,21.5
1965,9,21.5
1965,10,21.5
1965,11,21.5
1965,12,21.6
1966,1,21.6
1966,2,21.8
1966,3,21.8
1966,4,22
1966,5,22
1966,6,22
1966,7,22.1
1966,8,22.2
1966,9,22.2
1966,10,22.4
1966,11,22.4
1966,12,22.4
1967,1,22.4
1967,2,22.4
1967,3,22.5
1967,4,22.5
1967,5,22.6
1967,6,22.6
1967,7,22.7
1967,8,22.8
1967,9,22.8
1967,10,22.9
1967,11,22.9
1967,12,23
1968,1,23.2
1968,2,23.2
1968,3,23.3
1968,4,23.4
1968,5,23.5
1968,6,23.5
1968,7,23.7
1968,8,23.7
1968,9,23.8
1968,10,23.9
1968,11,24
1968,12,24
1969,1,24
1969,2,24.1
1969,3,24.2
1969,4,24.4
1969,5,24.4
1969,6,24.6
1969,7,24.7
1969,8,24.7
1969,9,24.8
1969,10,24.9
1969,11,25
1969,12,25.2
1970,1,25.2
1970,2,25.4
1970,3,25.4
1970,4,25.6
1970,5,25.7
1970,6,25.7
1970,7,25.9
1970,8,25.9
1970,9,26
1970,10,26.1
1970,11,26.2
1970,12,26.4
1971,1,26.3
1971,2,26.5
1971,3,26.6
1971,4,26.7
1971,5,26.8
1971,6,27
1971,7,27
1971,8,27
1971,9,27.1
1971,10,27.1
1971,11,27.1
1971,12,27.2
1972,1,27.3
1972,2,27.4
1972,3,27.5
1972,4,27.5
1972,5,27.6
1972,6,27.7
1972,7,27.7
1972,8,27.8
1972,9,27.9
1972,10,27.9
1972,11,28.1
1972,12,28.1
1973,1,28.3
1973,2,28.5
1973,3,28.8
1973,4,29
1973,5,29.2
1973,6,29.4
1973,7,29.4
1973,8,29.9
1973,9,30
1973,10,30.2
1973,11,30.4
1973,12,30.6
1974,1,30.8
1974,2,31.2
1974,3,31.5
1974,4,31.7
1974,5,32
1974,6,32.3
1974,7,32.5
1974,8,32.8
1974,9,33.2
1974,10,33.5
1974,11,33.7
1974,12,33.9
1975,1,34
1975,2,34.2
1975,3,34.4
1975,4,34.5
1975,5,34.7
1975,6,35
1975,7,35.3
1975,8,35.5
1975,9,35.6
1975,10,35.8
1975,11,36
1975,12,36.2
1976,1,36.2
1976,2,36.4
1976,3,36.5
1976,4,36.6
1976,5,36.9
1976,6,37
1976,7,37.2
1976,8,37.4
1976,9,37.5
1976,10,37.7
1976,11,37.8
1976,12,38
1977,1,38.2
1977,2,38.6
1977,3,38.8
1977,4,39.1
1977,5,39.3
1977,6,39.6
1977,7,39.7
1977,8,39.9
1977,9,39.9
1977,10,40.1
1977,11,40.3
1977,12,40.4
1978,1,40.6
1978,2,40.9
1978,3,41.1
1978,4,41.5
1978,5,41.9
1978,6,42.2
1978,7,42.4
1978,8,42.6
1978,9,42.9
1978,10,43.1
1978,11,43.4
1978,12,43.6
1979,1,43.9
1979,2,44.3
1979,3,44.7
1979,4,45.2
1979,5,45.7
1979,6,46.1
1979,7,46.5
1979,8,46.9
1979,9,47.3
1979,10,47.7
1979,11,47.9
1979,12,48.3
1980,1,48.8
1980,2,49.4
1980,3,50
1980,4,50.3
1980,5,50.7
1980,6,51.1
1980,7,51.5
1980,8,51.9
1980,9,52.4
1980,10,52.8
1980,11,53.1
1980,12,53.4
1981,1,54
1981,2,54.6
1981,3,55.1
1981,4,55.4
1981,5,55.7
1981,6,56
1981,7,56.4
1981,8,56.8
1981,9,57.3
1981,10,57.5
1981,11,57.7
1981,12,57.9
1982,1,58.3
1982,2,58.5
1982,3,58.5
1982,4,58.6
1982,5,59
1982,6,59.6
1982,7,60
1982,8,60.1
1982,9,60.4
1982,10,60.7
1982,11,60.8
1982,12,60.9
1983,1,61
1983,2,61
1983,3,61.1
1983,4,61.5
1983,5,61.9
1983,6,62.1
1983,7,62.3
1983,8,62.5
1983,9,62.8
1983,10,63
1983,11,63
1983,12,63.1
1984,1,63.5
1984,2,63.8
1984,3,63.9
1984,4,64.2
1984,5,64.4
1984,6,64.6
1984,7,64.8
1984,8,65.1
1984,9,65.3
1984,10,65.5
1984,11,65.5
1984,12,65.5
1985,1,65.6
1985,2,65.9
1985,3,66.2
1985,4,66.5
1985,5,66.7
1985,6,66.9
1985,7,67
1985,8,67.1
1985,9,67.4
1985,10,67.5
1985,11,67.7
1985,12,67.9
1986,1,68.1
1986,2,67.9
1986,3,67.6
1986,4,67.4
1986,5,67.6
1986,6,67.9
1986,7,67.9
1986,8,68
1986,9,68.4
1986,10,68.4
1986,11,68.4
1986,12,68.5
1987,1,68.9
1987,2,69.2
1987,3,69.5
1987,4,69.8
1987,5,70
1987,6,70.3
1987,7,70.4
1987,8,70.8
1987,9,71.1
1987,10,71.3
1987,11,71.3
1987,12,71.3
1988,1,71.5
1988,2,71.6
1988,3,71.9
1988,4,72.3
1988,5,72.5
1988,6,72.7
1988,7,73
1988,8,73.3
1988,9,73.8
1988,10,74
1988,11,74
1988,12,74.1
1989,1,74.5
1989,2,74.7
1989,3,75.1
1989,4,75.7
1989,5,76
1989,6,76.2
1989,7,76.4
1989,8,76.5
1989,9,76.7
1989,10,77
1989,11,77.2
1989,12,77.2
1990,1,77.9
1990,2,78.3
1990,3,78.7
1990,4,78.8
1990,5,79
