year,quarter,c_cpi_u_extended
1937,1,9.6
1937,2,9.8
1937,3,9.9
1937,4,9.9
1938,1,9.6
1938,2,9.6
1938,3,9.6
1938,4,9.5
1939,1,9.5
1939,2,9.4
1939,3,9.5
1939,4,9.6
1940,1,9.5
1940,2,9.5
1940,3,9.5
1940,4,9.5
1941,1,9.6
1941,2,9.8
1941,3,10.1
1941,4,10.5
1942,1,10.8
1942,2,11.1
1942,3,11.2
1942,4,11.4
1943,1,11.6
1943,2,11.9
1943,3,11.9
1943,4,11.9
1944,1,11.9
1944,2,11.9
1944,3,12.1
1944,4,12.1
1945,1,12.2
1945,2,12.3
1945,3,12.4
1945,4,12.4
1946,1,12.4
1946,2,12.6
1946,3,13.7
1946,4,14.5
1947,1,14.8
1947,2,14.9
1947,3,15.4
1947,4,15.8
1948,1,16
1948,2,16.3
1948,3,16.6
1948,4,16.5
1949,1,16.2
1949,2,16.3
1949,3,16.2
1949,4,16.1
1950,1,16
1950,2,16.1
1950,3,16.5
1950,4,16.8
1951,1,17.5
1951,2,17.6
1951,3,17.7
1951,4,17.9
1952,1,17.9
1952,2,18
1952,3,18.2
1952,4,18.2
1953,1,18.1
1953,2,18.1
1953,3,18.3
1953,4,18.3
1954,1,18.3
1954,2,18.3
1954,3,18.3
1954,4,18.2
1955,1,18.1
1955,2,18.1
1955,3,18.2
1955,4,18.3
1956,1,18.2
1956,2,18.4
1956,3,18.6
1956,4,18.7
1957,1,18.8
1957,2,19
1957,3,19.2
1957,4,19.3
1958,1,19.5
1958,2,19.7
1958,3,19.7
1958,4,19.7
1959,1,19.7
1959,2,19.7
1959,3,19.9
1959,4,20
1960,1,20.1
1960,2,20.1
1960,3,20.2
1960,4,20.3
1961,1,20.3
1961,2,20.3
1961,3,20.5
1961,4,20.5
1962,1,20.5
1962,2,20.6
1962,3,20.7
1962,4,20.7
1963,1,20.7
1963,2,20.7
1963,3,20.9
1963,4,20.9
1964,1,21
1964,2,21
1964,3,21.2
1964,4,21.2
1965,1,21.2
1965,2,21.4
1965,3,21.5
1965,4,21.5
1966,1,21.7
1966,2,22
1966,3,22.2
1966,4,22.4
1967,1,22.4
1967,2,22.6
1967,3,22.8
1967,4,22.9
1968,1,23.2
1968,2,23.5
1968,3,23.7
1968,4,24
1969,1,24.1
1969,2,24.5
1969,3,24.7
1969,4,25
1970,1,25.3
1970,2,25.7
1970,3,25.9
1970,4,26.2
1971,1,26.5
1971,2,26.8
1971,3,27
1971,4,27.1
1972,1,27.4
1972,2,27.6
1972,3,27.8
1972,4,28
1973,1,28.5
1973,2,29.2
1973,3,29.8
1973,4,30.4
1974,1,31.2
1974,2,32
1974,3,32.8
1974,4,33.7
1975,1,34.2
1975,2,34.7
1975,3,35.5
1975,4,36
1976,1,36.4
1976,2,36.8
1976,3,37.4
1976,4,37.8
1977,1,38.5
1977,2,39.3
1977,3,39.8
1977,4,40.3
1978,1,40.9
1978,2,41.9
1978,3,42.6
1978,4,43.4
1979,1,44.3
1979,2,45.7
1979,3,46.9
1979,4,48
1980,1,49.4
1980,2,50.7
1980,3,51.9
1980,4,53.1
1981,1,54.6
1981,2,55.7
1981,3,56.8
1981,4,57.7
1982,1,58.4
1982,2,59.1
1982,3,60.2
1982,4,60.8
1983,1,61
1983,2,61.8
1983,3,62.5
1983,4,63
1984,1,63.7
1984,2,64.4
1984,3,65.1
1984,4,65.5
1985,1,65.9
1985,2,66.7
1985,3,67.2
1985,4,67.7
1986,1,67.9
1986,2,67.6
1986,3,68.1
1986,4,68.4
1987,1,69.2
1987,2,70
1987,3,70.8
1987,4,71.3
1988,1,71.7
1988,2,72.5
1988,3,73.4
1988,4,74
1989,1,74.8
1989,2,76
1989,3,76.5
1989,4,77.1
1990,1,78.3
1990,2,79.1
1990,3,80.4
1990,4,81.6
1991,1,82
1991,2,82.4
1991,3,82.9
1991,4,83.4
1992,1,84
1992,2,84.6
1992,3,85.1
1992,4,85.6
1993,1,86.1
1993,2,86.8
1993,3,87.1
1993,4,87.5
1994,1,88
1994,2,88.5
1994,3,89.2
1994,4,89.5
1995,1,90.1
1995,2,90.8
1995,3,91.2
1995,4,91.5
1996,1,92.3
1996,2,93.2
1996,3,93.6
1996,4,94.2
1997,1,94.8
1997,2,95.1
1997,3,95.5
1997,4,95.8
1998,1,96
1998,2,96.5
1998,3,96.8
1998,4,97.1
1999,1,97.5
1999,2,98.4
1999,3,99
1999,4,99.6
2000,1,100.9
2000,2,101.8
2000,3,102.5
2000,4,102.8
2001,1,103.6
2001,2,104.5
2001,3,104.7
2001,4,104.3
2002,1,104.6
2002,2,105.6
2002,3,106
2002,4,106.2
2003,1,107.2
2003,2,107.6
2003,3,108.1
2003,4,108.1
2004,1,109.1
2004,2,110.5
2004,3,110.8
2004,4,111.5
2005,1,111.9
2005,2,113.3
2005,3,114.5
2005,4,115
2006,1,115.5
2006,2,117.4
2006,3,118.1
2006,4,117
2007,1,118
2007,2,120.1
2007,3,120.4
2007,4,121.2
