year,month,cpi_u
1937,1,14.1
1937,2,14.1
1937,3,14.2
1937,4,14.3
1937,5,14.4
1937,6,14.4
1937,7,14.5
1937,8,14.5
1937,9,14.6
1937,10,14.6
1937,11,14.5
1937,12,14.4
1938,1,14.2
1938,2,14.1
1938,3,14.1
1938,4,14.2
1938,5,14.1
1938,6,14.1
1938,7,14.1
1938,8,14.1
1938,9,14.1
1938,10,14
1938,11,14
1938,12,14
1939,1,14
1939,2,13.9
1939,3,13.9
1939,4,13.8
1939,5,13.8
1939,6,13.8
1939,7,13.8
1939,8,13.8
1939,9,14.1
1939,10,14
1939,11,14
1939,12,14
1940,1,13.9
1940,2,14
1940,3,14
1940,4,14
1940,5,14
1940,6,14.1
1940,7,14
1940,8,14
1940,9,14
1940,10,14
1940,11,14
1940,12,14.1
1941,1,14.1
1941,2,14.1
1941,3,14.2
1941,4,14.3
1941,5,14.4
1941,6,14.7
1941,7,14.7
1941,8,14.9
1941,9,15.1
1941,10,15.3
1941,11,15.4
1941,12,15.5
1942,1,15.7
1942,2,15.8
1942,3,16
1942,4,16.1
1942,5,16.3
1942,6,16.3
1942,7,16.4
1942,8,16.5
1942,9,16.5
1942,10,16.7
1942,11,16.8
1942,12,16.9
1943,1,16.9
1943,2,16.9
1943,3,17.2
1943,4,17.4
1943,5,17.5
1943,6,17.5
1943,7,17.4
1943,8,17.3
1943,9,17.4
1943,10,17.4
1943,11,17.4
1943,12,17.4
1944,1,17.4
1944,2,17.4
1944,3,17.4
1944,4,17.5
1944,5,17.5
1944,6,17.6
1944,7,17.7
1944,8,17.7
1944,9,17.7
1944,10,17.7
1944,11,17.7
1944,12,17.8
1945,1,17.8
1945,2,17.8
1945,3,17.8
1945,4,17.8
1945,5,17.9
1945,6,18.1
1945,7,18.1
1945,8,18.1
1945,9,18.1
1945,10,18.1
1945,11,18.1
1945,12,18.2
1946,1,18.2
1946,2,18.1
1946,3,18.3
1946,4,18.4
1946,5,18.5
1946,6,18.7
1946,7,19.8
1946,8,20.2
1946,9,20.4
1946,10,20.8
1946,11,21.3
1946,12,21.5
1947,1,21.5
1947,2,21.5
1947,3,21.9
1947,4,21.9
1947,5,21.9
1947,6,22
1947,7,22.2
1947,8,22.5
1947,9,23
1947,10,23
1947,11,23.1
1947,12,23.4
1948,1,23.7
1948,2,23.5
1948,3,23.4
1948,4,23.8
1948,5,23.9
1948,6,24.1
1948,7,24.4
1948,8,24.5
1948,9,24.5
1948,10,24.4
1948,11,24.2
1948,12,24.1
1949,1,24
1949,2,23.8
1949,3,23.8
1949,4,23.9
1949,5,23.8
1949,6,23.9
1949,7,23.7
1949,8,23.8
1949,9,23.9
1949,10,23.7
1949,11,23.8
1949,12,23.6
1950,1,23.5
1950,2,23.5
1950,3,23.6
1950,4,23.6
1950,5,23.7
1950,6,23.8
1950,7,24.1
1950,8,24.3
1950,9,24.4
1950,10,24.6
1950,11,24.7
1950,12,25
1951,1,25.4
1951,2,25.7
1951,3,25.8
1951,4,25.8
1951,5,25.9
1951,6,25.9
1951,7,25.9
1951,8,25.9
1951,9,26.1
1951,10,26.2
1951,11,26.4
1951,12,26.5
1952,1,26.5
1952,2,26.3
1952,3,26.3
1952,4,26.4
1952,5,26.4
1952,6,26.5
1952,7,26.7
1952,8,26.7
1952,9,26.7
1952,10,26.7
1952,11,26.7
1952,12,26.7
1953,1,26.6
1953,2,26.5
1953,3,26.6
1953,4,26.6
1953,5,26.7
1953,6,26.8
1953,7,26.8
1953,8,26.9
1953,9,26.9
1953,10,27
1953,11,26.9
1953,12,26.9
1954,1,26.9
1954,2,26.9
1954,3,26.9
1954,4,26.8
1954,5,26.9
1954,6,26.9
1954,7,26.9
1954,8,26.9
1954,9,26.8
1954,10,26.8
1954,11,26.8
1954,12,26.7
1955,1,26.7
1955,2,26.7
1955,3,26.7
1955,4,26.7
1955,5,26.7
1955,6,26.7
1955,7,26.8
1955,8,26.8
1955,9,26.9
1955,10,26.9
1955,11,26.9
1955,12,26.8
1956,1,26.8
1956,2,26.8
1956,3,26.8
1956,4,26.9
1956,5,27
1956,6,27.2
1956,7,27.4
1956,8,27.3
1956,9,27.4
1956,10,27.5
1956,11,27.5
1956,12,27.6
1957,1,27.6
1957,2,27.7
1957,3,27.8
1957,4,27.9
1957,5,28
1957,6,28.1
1957,7,28.3
1957,8,28.3
1957,9,28.3
1957,10,28.3
1957,11,28.4
1957,12,28.4
1958,1,28.6
1958,2,28.6
1958,3,28.8
1958,4,28.9
1958,5,28.9
1958,6,28.9
1958,7,29
1958,8,28.9
1958,9,28.9
1958,10,28.9
1958,11,29
1958,12,28.9
1959,1,29
1959,2,28.9
1959,3,28.9
1959,4,29
1959,5,29
1959,6,29.1
1959,7,29.2
1959,8,29.2
1959,9,29.3
1959,10,29.4
1959,11,29.4
1959,12,29.4
1960,1,29.3
1960,2,29.4
1960,3,29.4
1960,4,29.5
1960,5,29.5
1960,6,29.6
1960,7,29.6
1960,8,29.6
1960,9,29.6
1960,10,29.8
1960,11,29.8
1960,12,29.8
1961,1,29.8
1961,2,29.8
1961,3,29.8
1961,4,29.8
1961,5,29.8
1961,6,29.8
1961,7,30
1961,8,29.9
1961,9,30
1961,10,30
1961,11,30
1961,12,30
1962,1,30
1962,2,30.1
1962,3,30.1
1962,4,30.2
1962,5,30.2
1962,6,30.2
1962,7,30.3
1962,8,30.3
1962,9,30.4
1962,10,30.4
1962,11,30.4
1962,12,30.4
1963,1,30.4
1963,2,30.4
1963,3,30.5
1963,4,30.5
1963,5,30.5
1963,6,30.6
1963,7,30.7
1963,8,30.7
1963,9,30.7
1963,10,30.8
1963,11,30.8
1963,12,30.9
1964,1,30.9
1964,2,30.9
1964,3,30.9
1964,4,30.9
1964,5,30.9
1964,6,31
1964,7,31.1
1964,8,31
1964,9,31.1
1964,10,31.1
1964,11,31.2
1964,12,31.2
