year,quarter,cpi_u
1947,1,21.7
1947,2,22
1947,3,22.5
1947,4,23.1
1948,1,23.6
1948,2,24
1948,3,24.4
1948,4,24.2
1949,1,23.9
1949,2,23.9
1949,3,23.7
1949,4,23.7
1950,1,23.6
1950,2,23.8
1950,3,24.2
1950,4,24.7
1951,1,25.7
1951,2,25.9
1951,3,25.9
1951,4,26.3
1952,1,26.4
1952,2,26.5
1952,3,26.7
1952,4,26.7
1953,1,26.6
1953,2,26.7
1953,3,26.8
1953,4,26.9
1954,1,27
1954,2,26.9
1954,3,26.8
1954,4,26.8
1955,1,26.8
1955,2,26.8
1955,3,26.8
1955,4,26.9
1956,1,26.9
1956,2,27
1956,3,27.3
1956,4,27.6
1957,1,27.8
1957,2,28
1957,3,28.3
1957,4,28.4
1958,1,28.7
1958,2,28.9
1958,3,28.9
1958,4,28.9
1959,1,29
1959,2,29
1959,3,29.2
1959,4,29.4
1960,1,29.4
1960,2,29.6
1960,3,29.6
1960,4,29.8
1961,1,29.8
1961,2,29.8
1961,3,29.9
1961,4,30
1962,1,30.1
1962,2,30.2
1962,3,30.3
1962,4,30.4
1963,1,30.5
1963,2,30.5
1963,3,30.7
1963,4,30.8
1964,1,30.9
1964,2,31
1964,3,31
1964,4,31.2
1965,1,31.3
1965,2,31.5
1965,3,31.6
1965,4,31.8
1966,1,32
1966,2,32.3
1966,3,32.6
1966,4,32.9
1967,1,33
1967,2,33.2
1967,3,33.5
1967,4,33.9
1968,1,34.2
1968,2,34.5
1968,3,35
1968,4,35.4
1969,1,35.9
1969,2,36.4
1969,3,36.9
1969,4,37.5
1970,1,38.1
1970,2,38.6
1970,3,39
1970,4,39.6
1971,1,39.9
1971,2,40.3
1971,3,40.7
1971,4,41
1972,1,41.3
1972,2,41.6
1972,3,41.9
1972,4,42.4
1973,1,43
1973,2,43.9
1973,3,44.8
1973,4,45.9
1974,1,47.3
1974,2,48.6
1974,3,49.9
1974,4,51.5
1975,1,52.6
1975,2,53.2
1975,3,54.3
1975,4,55.3
1976,1,55.9
1976,2,56.4
1976,3,57.3
1976,4,58.1
1977,1,59.2
1977,2,60.2
1977,3,61.1
1977,4,62
1978,1,63
1978,2,64.5
1978,3,66
1978,4,67.5
1979,1,69.2
1979,2,71.4
1979,3,73.7
1979,4,76
1980,1,79
1980,2,81.7
1980,3,83.2
1980,4,85.6
1981,1,87.9
1981,2,89.8
1981,3,92.3
1981,4,93.8
1982,1,94.6
1982,2,96
1982,3,97.6
1982,4,97.9
1983,1,98
1983,2,99.1
1983,3,100.1
1983,4,101.1
1984,1,102.5
1984,2,103.5
1984,3,104.4
1984,4,105.3
1985,1,106.3
1985,2,107.2
1985,3,107.9
1985,4,109
1986,1,109.6
1986,2,109
1986,3,109.7
1986,4,110.5
1987,1,111.8
1987,2,113.1
1987,3,114.3
1987,4,115.3
1988,1,116.2
1988,2,117.6
1988,3,119
1988,4,120.3
1989,1,121.7
1989,2,123.6
1989,3,124.6
1989,4,125.9
1990,1,128
1990,2,129.3
1990,3,131.5
1990,4,133.8
1991,1,134.8
1991,2,135.6
1991,3,136.6
1991,4,137.7
1992,1,138.7
1992,2,139.7
1992,3,140.8
1992,4,142
1993,1,143.1
1993,2,144.1
1993,3,144.8
1993,4,146
1994,1,146.7
1994,2,147.5
1994,3,148.9
1994,4,149.8
1995,1,150.9
1995,2,152.1
1995,3,152.9
1995,4,153.7
1996,1,155.1
1996,2,156.4
1996,3,157.3
1996,4,158.7
1997,1,159.6
1997,2,160
1997,3,160.8
1997,4,161.7
1998,1,162
1998,2,162.5
1998,3,163.4
1998,4,164.1
1999,1,164.7
1999,2,166
1999,3,167.2
1999,4,168.4
2000,1,170.1
2000,2,171.4
2000,3,173
2000,4,174.2
2001,1,175.9
2001,2,177.1
2001,3,177.6
2001,4,177.5
2002,1,178.1
2002,2,179.5
2002,3,180.4
2002,4,181.5
2003,1,183.4
2003,2,183.1
2003,3,184.4
2003,4,185.1
2004,1,186.7
2004,2,188.2
2004,3,189.4
2004,4,191.4
2005,1,192.4
2005,2,193.7
2005,3,196.6
2005,4,198.4
2006,1,199.5
2006,2,201.3
2006,3,203.2
2006,4,202.3
2007,1,204.3
2007,2,206.6
2007,3,207.9
2007,4,210.5
2008,1,212.8
2008,2,215.5
2008,3,218.9
2008,4,213.8
2009,1,212.4
2009,2,213.5
2009,3,215.3
2009,4,217
2010,1,217.4
2010,2,217.3
2010,3,217.9
2010,4,219.7
2011,1,222
2011,2,224.6
2011,3,226
2011,4,227
2012,1,228.3
2012,2,228.8
2012,3,229.8
2012,4,231.4
2013,1,232.3
2013,2,232
2013,3,233.3
2013,4,234.2
2014,1,235.6
2014,2,236.9
2014,3,237.5
2014,4,236.9
2015,1,235.4
2015,2,237
2015,3,237.9
2015,4,237.8
2016,1,237.7
2016,2,239.6
2016,3,240.6
2016,4,242.1
2017,1,243.8
2017,2,244.1
2017,3,245.3
2017,4,247.2
2018,1,249.3
2018,2,250.7
2018,3,251.7
2018,4,252.7
2019,1,253.4
2019,2,255.2
2019,3,256.1
2019,4,257.9
2020,1,258.8
2020,2,256.3
2020,3,259.2
2020,4,261
2021,1,263.7
2021,2,268.6
2021,3,272.9
2021,4,278.7
2022,1,284.8
2022,2,291.7
2022,3,295.5
2022,4,298.4
2023,1,301.2
2023,2,303.5
2023,3,306
2023,4,308.1
2024,1,311
2024,2,313.2
