year,month,cpi_u_rs
1977,12,100
1978,1,100.5
1978,2,101.1
1978,3,101.8
1978,4,102.7
1978,5,103.6
1978,6,104.5
1978,7,105
1978,8,105.5
1978,9,106.1
1978,10,106.7
1978,11,107.3
1978,12,107.8
1979,1,108.7
1979,2,109.7
1979,3,110.7
1979,4,111.8
1979,5,113
1979,6,114.1
1979,7,115.1
1979,8,116
1979,9,117.1
1979,10,117.9
1979,11,118.5
1979,12,119.5
1980,1,120.8
1980,2,122.4
1980,3,123.8
1980,4,124.7
1980,5,125.7
1980,6,126.7
1980,7,127.5
1980,8,128.6
1980,9,129.9
1980,10,130.7
1980,11,131.5
1980,12,132.4
1981,1,133.6
1981,2,135.2
1981,3,136.3
1981,4,137.1
1981,5,137.9
1981,6,138.7
1981,7,139.7
1981,8,140.7
1981,9,141.8
1981,10,142.4
1981,11,142.9
1981,12,143.4
1982,1,144.2
1982,2,144.7
1982,3,144.9
1982,4,145
1982,5,146.1
1982,6,147.5
1982,7,148.5
1982,8,148.8
1982,9,149.5
1982,10,150.2
1982,11,150.5
1982,12,150.6
1983,1,151
1983,2,151.1
1983,3,151.2
1983,4,152.4
1983,5,153.2
1983,6,153.7
1983,7,154.3
1983,8,154.8
1983,9,155.6
1983,10,156
1983,11,156.1
1983,12,156.3
1984,1,157.2
1984,2,158
1984,3,158.3
1984,4,159
1984,5,159.5
1984,6,159.9
1984,7,160.4
1984,8,161.1
1984,9,161.8
1984,10,162.2
1984,11,162.2
1984,12,162.3
1985,1,162.5
1985,2,163.2
1985,3,163.9
1985,4,164.6
1985,5,165.2
1985,6,165.6
1985,7,165.9
1985,8,166.2
1985,9,166.8
1985,10,167.2
1985,11,167.7
1985,12,168.1
1986,1,168.6
1986,2,168.1
1986,3,167.3
1986,4,166.9
1986,5,167.4
1986,6,168.2
1986,7,168.2
1986,8,168.5
1986,9,169.4
1986,10,169.5
1986,11,169.5
1986,12,169.6
1987,1,170.6
1987,2,171.3
1987,3,172
1987,4,172.9
1987,5,173.4
1987,6,174
1987,7,174.3
1987,8,175.3
1987,9,176.1
1987,10,176.5
1987,11,176.6
1987,12,176.5
1988,1,177
1988,2,177.3
1988,3,178
1988,4,178.9
1988,5,179.5
1988,6,180.1
1988,7,180.8
1988,8,181.6
1988,9,182.7
1988,10,183.2
1988,11,183.3
1988,12,183.4
1989,1,184.3
1989,2,184.9
1989,3,185.9
1989,4,187.2
1989,5,188.1
1989,6,188.5
1989,7,189
1989,8,189.2
1989,9,189.8
1989,10,190.6
1989,11,190.9
1989,12,191.1
1990,1,193
1990,2,193.9
1990,3,194.9
1990,4,195.2
1990,5,195.5
1990,6,196.5
1990,7,197.3
1990,8,199
1990,9,200.6
1990,10,201.7
1990,11,202
1990,12,202
1991,1,202.9
1991,2,203.1
1991,3,203.3
1991,4,203.5
1991,5,204.1
1991,6,204.5
1991,7,204.7
1991,8,205.2
1991,9,206.1
1991,10,206.2
1991,11,206.7
1991,12,206.8
1992,1,207.2
1992,2,207.7
1992,3,208.6
1992,4,209
1992,5,209.3
1992,6,209.7
1992,7,210.1
1992,8,210.6
1992,9,211.2
1992,10,211.8
1992,11,212.1
1992,12,211.9
1993,1,212.6
1993,2,213.3
1993,3,214
1993,4,214.5
1993,5,215
1993,6,215.2
1993,7,215.3
1993,8,215.7
1993,9,216
1993,10,216.7
1993,11,216.9
1993,12,216.7
1994,1,217.1
1994,2,217.6
1994,3,218.4
1994,4,218.6
1994,5,218.9
1994,6,219.5
1994,7,220
1994,8,220.7
1994,9,221.1
1994,10,221.2
1994,11,221.5
1994,12,221.4
1995,1,222.2
1995,2,222.9
1995,3,223.6
1995,4,224.3
1995,5,224.7
1995,6,225.2
1995,7,225.3
1995,8,225.7
1995,9,226.1
1995,10,226.7
1995,11,226.5
1995,12,226.4
1996,1,227.5
1996,2,228.3
1996,3,229.4
1996,4,230.2
1996,5,230.8
1996,6,230.9
1996,7,231.3
1996,8,231.5
1996,9,232.3
1996,10,233
1996,11,233.4
1996,12,233.4
1997,1,234.1
1997,2,234.7
1997,3,235.2
1997,4,235.5
1997,5,235.4
1997,6,235.8
1997,7,235.9
1997,8,236.3
1997,9,237.1
1997,10,237.5
1997,11,237.4
1997,12,237
1998,1,237.4
1998,2,237.8
1998,3,238.1
1998,4,238.6
1998,5,239
1998,6,239.1
1998,7,239.4
1998,8,239.7
1998,9,240
1998,10,240.5
1998,11,240.5
1998,12,240.3
1999,1,240.9
1999,2,241.2
1999,3,241.9
1999,4,243.6
1999,5,243.6
1999,6,243.7
1999,7,244.4
1999,8,245.1
1999,9,246.2
1999,10,246.7
1999,11,246.8
1999,12,246.8
2000,1,247.6
2000,2,249.1
2000,3,251.1
2000,4,251.2
2000,5,251.4
2000,6,252.9
2000,7,253.4
2000,8,253.4
2000,9,254.8
2000,10,255.1
2000,11,255.3
2000,12,255.1
2001,1,256.8
2001,2,257.9
2001,3,258.5
2001,4,259.5
2001,5,260.5
2001,6,261.1
2001,7,260.3
2001,8,260.4
2001,9,261.4
2001,10,260.6
2001,11,260.1
2001,12,259.1
2002,1,259.8
2002,2,260.8
2002,3,262.2
2002,4,263.7
2002,5,263.6
2002,6,263.9
2002,7,264.1
2002,8,265
2002,9,265.4
2002,10,265.9
2002,11,265.9
2002,12,265.3
2003,1,266.4
2003,2,268.6
2003,3,270.2
2003,4,269.5
2003,5,269.1
2003,6,269.5
2003,7,269.7
2003,8,270.7
2003,9,271.6
2003,10,271.4
2003,11,270.6
2003,12,270.3
2004,1,271.7
2004,2,273.2
2004,3,274.9
2004,4,275.8
2004,5,277.3
