year,month,pce
1959,1,16.042
1959,2,16.057
1959,3,16.068
1959,4,16.1
1959,5,16.109
1959,6,16.155
1959,7,16.189
1959,8,16.212
1959,9,16.255
1959,10,16.294
1959,11,16.304
1959,12,16.323
1960,1,16.314
1960,2,16.331
1960,3,16.34
1960,4,16.4
1960,5,16.417
1960,6,16.424
1960,7,16.453
1960,8,16.481
1960,9,16.491
1960,10,16.51
1960,11,16.565
1960,12,16.569
1961,1,16.571
1961,2,16.587
1961,3,16.578
1961,4,16.568
1961,5,16.577
1961,6,16.585
1961,7,16.621
1961,8,16.635
1961,9,16.654
1961,10,16.652
1961,11,16.653
1961,12,16.658
1962,1,16.689
1962,2,16.734
1962,3,16.756
1962,4,16.775
1962,5,16.786
1962,6,16.796
1962,7,16.787
1962,8,16.811
1962,9,16.894
1962,10,16.876
1962,11,16.889
1962,12,16.882
1963,1,16.923
1963,2,16.941
1963,3,16.928
1963,4,16.927
1963,5,16.954
1963,6,16.991
1963,7,17.025
1963,8,17.048
1963,9,17.044
1963,10,17.078
1963,11,17.102
1963,12,17.127
1964,1,17.163
1964,2,17.188
1964,3,17.198
1964,4,17.211
1964,5,17.213
1964,6,17.237
1964,7,17.259
1964,8,17.273
1964,9,17.299
1964,10,17.31
1964,11,17.334
1964,12,17.359
1965,1,17.378
1965,2,17.385
1965,3,17.408
1965,4,17.435
1965,5,17.474
1965,6,17.525
1965,7,17.538
1965,8,17.542
1965,9,17.55
1965,10,17.556
1965,11,17.585
1965,12,17.649
1966,1,17.67
1966,2,17.743
1966,3,17.786
1966,4,17.848
1966,5,17.87
1966,6,17.915
1966,7,17.949
1966,8,18.018
1966,9,18.075
1966,10,18.123
1966,11,18.15
1966,12,18.187
1967,1,18.188
1967,2,18.209
1967,3,18.22
1967,4,18.249
1967,5,18.285
1967,6,18.343
1967,7,18.405
1967,8,18.463
1967,9,18.519
1967,10,18.57
1967,11,18.632
1967,12,18.661
1968,1,18.748
1968,2,18.824
1968,3,18.886
1968,4,18.945
1968,5,19.015
1968,6,19.075
1968,7,19.134
1968,8,19.212
1968,9,19.279
1968,10,19.364
1968,11,19.43
1968,12,19.47
1969,1,19.546
1969,2,19.595
1969,3,19.687
1969,4,19.774
1969,5,19.854
1969,6,19.95
1969,7,20.037
1969,8,20.093
1969,9,20.176
1969,10,20.245
1969,11,20.332
1969,12,20.426
1970,1,20.499
1970,2,20.58
1970,3,20.631
1970,4,20.736
1970,5,20.802
1970,6,20.856
1970,7,20.932
1970,8,20.987
1970,9,21.081
1970,10,21.185
