year,quarter,pce
1947,1,11.557
1947,2,11.649
1947,3,11.866
1947,4,12.162
1948,1,12.297
1948,2,12.424
1948,3,12.614
1948,4,12.574
1949,1,12.475
1949,2,12.399
1949,3,12.327
1949,4,12.317
1950,1,12.297
1950,2,12.356
1950,3,12.614
1950,4,12.839
1951,1,13.247
1951,2,13.353
1951,3,13.371
1951,4,13.548
1952,1,13.606
1952,2,13.603
1952,3,13.692
1952,4,13.715
1953,1,13.766
1953,2,13.786
1953,3,13.861
1953,4,13.921
1954,1,13.991
1954,2,13.972
1954,3,13.926
1954,4,13.912
1955,1,13.957
1955,2,13.971
1955,3,14.026
1955,4,14.064
1956,1,14.122
1956,2,14.217
1956,3,14.356
1956,4,14.44
1957,1,14.57
1957,2,14.662
1957,3,14.781
1957,4,14.858
1958,1,15.041
1958,2,15.069
1958,3,15.08
1958,4,15.074
1959,1,15.177
1959,2,15.239
1959,3,15.331
1959,4,15.415
1960,1,15.435
1960,2,15.515
1960,3,15.574
1960,4,15.642
1961,1,15.671
1961,2,15.67
1961,3,15.726
1961,4,15.743
1962,1,15.811
1962,2,15.867
1962,3,15.91
1962,4,15.958
1963,1,16.004
1963,2,16.029
1963,3,16.107
1963,4,16.166
1964,1,16.243
1964,2,16.278
1964,3,16.331
1964,4,16.385
1965,1,16.438
1965,2,16.522
1965,3,16.583
1965,4,16.634
1966,1,16.763
1966,2,16.899
1966,3,17.028
1966,4,17.16
1967,1,17.209
1967,2,17.291
1967,3,17.452
1967,4,17.602
1968,1,17.789
1968,2,17.971
1968,3,18.157
1968,4,18.358
1969,1,18.536
1969,2,18.772
1969,3,19.002
1969,4,19.221
1970,1,19.444
1970,2,19.659
1970,3,19.851
1970,4,20.108
1971,1,20.299
1971,2,20.53
1971,3,20.732
1971,4,20.86
1972,1,21.08
1972,2,21.202
1972,3,21.388
1972,4,21.562
1973,1,21.823
1973,2,22.242
1973,3,22.647
1973,4,23.11
1974,1,23.798
1974,2,24.472
1974,3,25.132
1974,4,25.771
1975,1,26.256
1975,2,26.578
1975,3,27.076
1975,4,27.53
1976,1,27.833
1976,2,28.066
1976,3,28.492
1976,4,28.942
1977,1,29.465
1977,2,29.969
1977,3,30.42
1977,4,30.852
1978,1,31.358
1978,2,32.002
1978,3,32.564
1978,4,33.179
1979,1,33.804
1979,2,34.728
1979,3,35.59
1979,4,36.451
1980,1,37.545
1980,2,38.464
1980,3,39.364
1980,4,40.338
1981,1,41.384
1981,2,42.078
1981,3,42.772
1981,4,43.427
1982,1,43.979
1982,2,44.402
1982,3,45.103
1982,4,45.601
1983,1,45.978
1983,2,46.398
1983,3,47.008
1983,4,47.318
1984,1,47.83
1984,2,48.293
1984,3,48.666
1984,4,48.966
1985,1,49.544
1985,2,49.945
1985,3,50.337
1985,4,50.688
1986,1,51.047
1986,2,50.993
1986,3,51.263
1986,4,51.573
1987,1,52.061
1987,2,52.564
1987,3,53.062
1987,4,53.52
1988,1,53.943
1988,2,54.539
1988,3,55.211
1988,4,55.769
1989,1,56.41
1989,2,57.17
1989,3,57.507
1989,4,57.959
1990,1,58.799
1990,2,59.333
1990,3,60.087
1990,4,60.882
1991,1,61.202
1991,2,61.536
1991,3,61.954
1991,4,62.404
1992,1,62.795
1992,2,63.212
1992,3,63.615
1992,4,64.059
1993,1,64.441
1993,2,64.874
1993,3,65.155
1993,4,65.531
1994,1,65.766
1994,2,66.133
1994,3,66.607
1994,4,66.92
1995,1,67.247
1995,2,67.639
1995,3,67.915
1995,4,68.214
1996,1,68.593
1996,2,69.052
1996,3,69.346
1996,4,69.819
1997,1,70.127
1997,2,70.303
1997,3,70.488
1997,4,70.71
1998,1,70.715
1998,2,70.843
1998,3,71.062
1998,4,71.249
1999,1,71.39
1999,2,71.796
1999,3,72.191
1999,4,72.629
2000,1,73.219
2000,2,73.568
2000,3,74.042
2000,4,74.46
2001,1,75.012
2001,2,75.363
2001,3,75.401
2001,4,75.432
2002,1,75.584
2002,2,76.145
2002,3,76.539
2002,4,76.896
2003,1,77.484
2003,2,77.562
2003,3,78.073
2003,4,78.457
2004,1,79.062
2004,2,79.594
2004,3,79.985
2004,4,80.669
2005,1,81.138
2005,2,81.65
2005,3,82.532
2005,4,83.189
2006,1,83.621
2006,2,84.355
2006,3,84.962
2006,4,84.822
2007,1,85.597
2007,2,86.324
2007,3,86.812
2007,4,87.694
2008,1,88.408
2008,2,89.269
2008,3,90.221
2008,4,88.781
2009,1,88.181
2009,2,88.532
2009,3,89.142
2009,4,89.83
2010,1,90.177
2010,2,90.317
2010,3,90.49
2010,4,91.07
2011,1,91.835
2011,2,92.738
2011,3,93.167
2011,4,93.475
2012,1,94.094
2012,2,94.321
2012,3,94.595
2012,4,95.126
2013,1,95.459
2013,2,95.508
2013,3,95.901
2013,4,96.254
2014,1,96.696
2014,2,97.129
2014,3,97.394
2014,4,97.265
2015,1,96.829
2015,2,97.312
2015,3,97.565
2015,4,97.49
2016,1,97.538
2016,2,98.157
2016,3,98.496
2016,4,98.947
2017,1,99.524
2017,2,99.724
2017,3,100.076
2017,4,100.676
2018,1,101.38
2018,2,101.912
2018,3,102.254
2018,4,102.642
2019,1,102.851
2019,2,103.426
2019,3,103.675
2019,4,104.083
2020,1,104.404
2020,2,103.988
2020,3,104.832
2020,4,105.34
2021,1,106.529
2021,2,108.188
2021,3,109.681
2021,4,111.491
2022,1,113.585
2022,2,115.672
2022,3,117.014
2022,4,118.172
2023,1,119.32
2023,2,120.182
2023,3,120.983
2023,4,121.48
2024,1,122.507
2024,2,123.275
2024,3,123.747
2024,4,124.478
2025,1,125.57
