year,minimum_wage
1938,0.25
1939,0.3
1940,0.3
1941,0.3
1942,0.3
1943,0.3
1944,0.3
1945,0.4
1946,0.4
1947,0.4
1948,0.4
1949,0.4
1950,0.75
1951,0.75
1952,0.75
1953,0.75
1954,0.75
1955,0.75
1956,1
1957,1
1958,1
1959,1
1960,1
1961,1.15
1962,1.15
1963,1.25
1964,1.25
1965,1.25
1966,1.25
1967,1.4
1968,1.6
1969,1.6
1970,1.6
1971,1.6
1972,1.6
1973,1.6
1974,2
1975,2.1
1976,2.3
1977,2.3
1978,2.65
1979,2.9
1980,3.1
1981,3.35
1982,3.35
1983,3.35
1984,3.35
1985,3.35
1986,3.35
1987,3.35
1988,3.35
1989,3.35
1990,3.8
1991,4.25
1992,4.25
1993,4.25
1994,4.25
1995,4.25
1996,4.75
1997,5.15
1998,5.15
1999,5.15
2000,5.15
2001,5.15
2002,5.15
2003,5.15
2004,5.15
2005,5.15
2006,5.15
2007,5.85
2008,6.55
2009,7.25
2010,7.25
2011,7.25
2012,7.25
2013,7.25
2014,7.25
2015,7.25
2016,7.25
2017,7.25
2018,7.25
2019,7.25
2020,7.25
2021,7.25
2022,7.25
2023,7.25
2024,7.25
2025,7.25
