year,month,minimum_wage
1938,10,0.25
1938,11,0.25
1938,12,0.25
1939,1,0.25
1939,2,0.25
1939,3,0.25
1939,4,0.25
1939,5,0.25
1939,6,0.25
1939,7,0.25
1939,8,0.25
1939,9,0.25
1939,10,0.3
1939,11,0.3
1939,12,0.3
1940,1,0.3
1940,2,0.3
1940,3,0.3
1940,4,0.3
1940,5,0.3
1940,6,0.3
1940,7,0.3
1940,8,0.3
1940,9,0.3
1940,10,0.3
1940,11,0.3
1940,12,0.3
1941,1,0.3
1941,2,0.3
1941,3,0.3
1941,4,0.3
1941,5,0.3
1941,6,0.3
1941,7,0.3
1941,8,0.3
1941,9,0.3
1941,10,0.3
1941,11,0.3
1941,12,0.3
1942,1,0.3
1942,2,0.3
1942,3,0.3
1942,4,0.3
1942,5,0.3
1942,6,0.3
1942,7,0.3
1942,8,0.3
1942,9,0.3
1942,10,0.3
1942,11,0.3
1942,12,0.3
1943,1,0.3
1943,2,0.3
1943,3,0.3
1943,4,0.3
1943,5,0.3
1943,6,0.3
1943,7,0.3
1943,8,0.3
1943,9,0.3
1943,10,0.3
1943,11,0.3
1943,12,0.3
1944,1,0.3
1944,2,0.3
1944,3,0.3
1944,4,0.3
1944,5,0.3
1944,6,0.3
1944,7,0.3
1944,8,0.3
1944,9,0.3
1944,10,0.3
1944,11,0.3
1944,12,0.3
1945,1,0.3
1945,2,0.3
1945,3,0.3
1945,4,0.3
1945,5,0.3
1945,6,0.3
1945,7,0.3
1945,8,0.3
1945,9,0.3
1945,10,0.4
1945,11,0.4
1945,12,0.4
1946,1,0.4
1946,2,0.4
1946,3,0.4
1946,4,0.4
1946,5,0.4
1946,6,0.4
1946,7,0.4
1946,8,0.4
1946,9,0.4
1946,10,0.4
1946,11,0.4
1946,12,0.4
1947,1,0.4
1947,2,0.4
1947,3,0.4
1947,4,0.4
1947,5,0.4
1947,6,0.4
1947,7,0.4
1947,8,0.4
1947,9,0.4
1947,10,0.4
1947,11,0.4
1947,12,0.4
1948,1,0.4
1948,2,0.4
1948,3,0.4
1948,4,0.4
1948,5,0.4
1948,6,0.4
1948,7,0.4
1948,8,0.4
1948,9,0.4
1948,10,0.4
1948,11,0.4
1948,12,0.4
1949,1,0.4
1949,2,0.4
1949,3,0.4
1949,4,0.4
1949,5,0.4
1949,6,0.4
1949,7,0.4
1949,8,0.4
1949,9,0.4
