year,period,value
2025,M11,325.031
2025,M10,-
2025,M09,324.368
2025,M08,323.364
2025,M07,322.132
2025,M06,321.500
2025,M05,320.580
2025,M04,320.321
2025,M03,319.615
2025,M02,319.775
2025,M01,319.086
2024,M12,317.603
2024,M11,316.449
2024,M10,315.564
2024,M09,314.851
2024,M08,314.131
2024,M07,313.566
2024,M06,313.131
2024,M05,313.140
2024,M04,313.016
2024,M03,312.107
2024,M02,311.022
2024,M01,309.794
2023,M12,308.735
2023,M11,308.087
2023,M10,307.653
2023,M09,307.374
2023,M08,306.138
2023,M07,304.615
2023,M06,304.099
2023,M05,303.316
2023,M04,302.858
2023,M03,301.643
2023,M02,301.476
2023,M01,300.456
2022,M12,298.808
2022,M11,298.708
2022,M10,297.979
2022,M09,296.421
2022,M08,295.162
2022,M07,294.940
2022,M06,295.072
2022,M05,291.299
2022,M04,288.582
2022,M03,287.467
2022,M02,284.525
2022,M01,282.542
2021,M12,280.806
2021,M11,278.824
2021,M10,276.528
2021,M09,273.942
2021,M08,272.752
2021,M07,271.965
2021,M06,270.710
2021,M05,268.404
2021,M04,266.625
2021,M03,264.847
2021,M02,263.573
2021,M01,262.639
2020,M12,262.045
2020,M11,260.911
2020,M10,260.319
2020,M09,259.997
2020,M08,259.316
2020,M07,258.352
2020,M06,257.042
2020,M05,255.802
2020,M04,256.032
2020,M03,258.076
2020,M02,259.250
2020,M01,259.127
2019,M12,258.630
2019,M11,257.879
2019,M10,257.155
2019,M09,256.430
2019,M08,256.036
2019,M07,255.802
2019,M06,255.213
2019,M05,255.296
2019,M04,255.233
2019,M03,254.277
2019,M02,253.319
2019,M01,252.561
2018,M12,252.767
2018,M11,252.594
2018,M10,252.772
2018,M09,252.182
2018,M08,251.663
2018,M07,251.214
2018,M06,251.018
2018,M05,250.792
2018,M04,250.227
2018,M03,249.577
2018,M02,249.529
2018,M01,248.859
2017,M12,247.805
2017,M11,247.284
2017,M10,246.626
2017,M09,246.435
2017,M08,245.183
2017,M07,244.243
2017,M06,244.163
2017,M05,244.004
2017,M04,244.193
2017,M03,243.892
2017,M02,244.006
2017,M01,243.618
2016,M12,242.637
2016,M11,242.026
2016,M10,241.741
2016,M09,241.176
2016,M08,240.545
2016,M07,240.101
2016,M06,240.222
2016,M05,239.557
2016,M04,238.992
2016,M03,238.080
2016,M02,237.336
2016,M01,237.652
2015,M12,237.761
2015,M11,238.017
2015,M10,237.733
2015,M09,237.498
2015,M08,238.033
2015,M07,238.034
2015,M06,237.657
2015,M05,237.001
2015,M04,236.222
2015,M03,235.976
2015,M02,235.342
2015,M01,234.747
2014,M12,236.252
2014,M11,236.983
2014,M10,237.430
2014,M09,237.477
2014,M08,237.460
2014,M07,237.498
2014,M06,237.231
2014,M05,236.918
2014,M04,236.468
2014,M03,236.028
2014,M02,235.547
2014,M01,235.288
2013,M12,234.719
2013,M11,234.100
2013,M10,233.669
2013,M09,233.544
2013,M08,233.456
2013,M07,232.900
2013,M06,232.445
2013,M05,231.893
2013,M04,231.797
2013,M03,232.282
2013,M02,232.937
2013,M01,231.679
2012,M12,231.221
2012,M11,231.249
2012,M10,231.638
2012,M09,231.015
2012,M08,229.918
2012,M07,228.590
2012,M06,228.524
2012,M05,228.713
2012,M04,229.187
2012,M03,228.807
2012,M02,228.329
2012,M01,227.842
2011,M12,227.223
2011,M11,227.169
2011,M10,226.750
2011,M09,226.597
2011,M08,226.106
2011,M07,225.395
2011,M06,224.806
2011,M05,224.806
2011,M04,224.093
2011,M03,223.046
2011,M02,221.898
2011,M01,221.187
2010,M12,220.472
2010,M11,219.590
2010,M10,219.035
2010,M09,218.275
2010,M08,217.923
2010,M07,217.605
2010,M06,217.199
2010,M05,217.290
2010,M04,217.403
2010,M03,217.353
2010,M02,217.281
2010,M01,217.488
2009,M12,217.347
2009,M11,217.234
2009,M10,216.509
2009,M09,215.861
2009,M08,215.445
2009,M07,214.726
2009,M06,214.790
2009,M05,213.022
2009,M04,212.709
2009,M03,212.495
2009,M02,212.705
2009,M01,211.933
2008,M12,211.398
2008,M11,213.153
2008,M10,216.995
2008,M09,218.877
2008,M08,218.690
2008,M07,219.016
2008,M06,217.463
2008,M05,215.208
2008,M04,213.942
2008,M03,213.448
2008,M02,212.687
2008,M01,212.174
2007,M12,211.445
2007,M11,210.834
2007,M10,209.190
2007,M09,208.547
2007,M08,207.667
2007,M07,207.603
2007,M06,207.234
2007,M05,206.755
2007,M04,205.904
2007,M03,205.288
2007,M02,204.226
2007,M01,203.437
2006,M12,203.1
2006,M11,202.0
2006,M10,201.9
2006,M09,202.8
2006,M08,203.8
2006,M07,202.9
2006,M06,201.8
2006,M05,201.3
2006,M04,200.7
2006,M03,199.7
2006,M02,199.4
2006,M01,199.3
2005,M12,198.1
2005,M11,198.1
2005,M10,199.1
2005,M09,198.8
2005,M08,196.1
2005,M07,194.9
2005,M06,193.7
2005,M05,193.6
2005,M04,193.7
2005,M03,193.1
2005,M02,192.4
2005,M01,191.6
2004,M12,191.7
2004,M11,191.7
2004,M10,190.8
2004,M09,189.8
2004,M08,189.2
2004,M07,189.1
2004,M06,188.9
2004,M05,188.2
2004,M04,187.4
2004,M03,187.1
2004,M02,186.7
2004,M01,186.3
2003,M12,185.5
2003,M11,185.0
2003,M10,184.9
2003,M09,185.1
2003,M08,184.5
2003,M07,183.7
2003,M06,183.1
2003,M05,182.9
2003,M04,183.2
2003,M03,183.9
2003,M02,183.6
2003,M01,182.6
2002,M12,181.8
2002,M11,181.5
2002,M10,181.2
2002,M09,180.8
2002,M08,180.5
2002,M07,180.0
2002,M06,179.6
2002,M05,179.5
2002,M04,179.3
2002,M03,178.5
2002,M02,178.0
2002,M01,177.7
2001,M12,177.40
2001,M11,177.50
2001,M10,177.60
2001,M09,178.10
2001,M08,177.40
2001,M07,177.40
2001,M06,177.70
2001,M05,177.30
2001,M04,176.40
2001,M03,176.10
2001,M02,176.00
2001,M01,175.60
2000,M12,174.60
2000,M11,174.20
2000,M10,173.90
2000,M09,173.60
2000,M08,172.70
2000,M07,172.70
2000,M06,172.20
2000,M05,171.20
2000,M04,170.90
2000,M03,171.00
2000,M02,170.00
2000,M01,169.30
1999,M12,168.80
1999,M11,168.40
1999,M10,168.10
1999,M09,167.80
1999,M08,167.10
1999,M07,166.70
1999,M06,166.00
1999,M05,166.00
1999,M04,165.90
1999,M03,164.80
1999,M02,164.70
1999,M01,164.70
1998,M12,164.40
1998,M11,164.10
1998,M10,163.90
1998,M09,163.50
1998,M08,163.40
1998,M07,163.20
1998,M06,162.80
1998,M05,162.60
1998,M04,162.20
1998,M03,162.00
1998,M02,162.00
1998,M01,162.00
1997,M12,161.80
1997,M11,161.70
1997,M10,161.50
1997,M09,161.20
1997,M08,160.80
1997,M07,160.40
1997,M06,160.20
1997,M05,159.90
1997,M04,159.90
1997,M03,159.80
1997,M02,159.70
1997,M01,159.40
1996,M12,159.10
1996,M11,158.70
1996,M10,158.20
1996,M09,157.70
1996,M08,157.20
1996,M07,157.00
1996,M06,156.70
1996,M05,156.40
1996,M04,156.10
1996,M03,155.50
1996,M02,155.00
1996,M01,154.70
1995,M12,153.90
1995,M11,153.70
1995,M10,153.50
1995,M09,153.10
1995,M08,152.90
1995,M07,152.60
1995,M06,152.40
1995,M05,152.10
1995,M04,151.80
1995,M03,151.20
1995,M02,150.90
1995,M01,150.50
1994,M12,150.10
1994,M11,149.80
1994,M10,149.40
1994,M09,149.30
1994,M08,149.00
1994,M07,148.40
1994,M06,147.90
1994,M05,147.50
1994,M04,147.20
1994,M03,147.10
1994,M02,146.70
1994,M01,146.30
1993,M12,146.30
1993,M11,146.00
1993,M10,145.60
1993,M09,145.00
1993,M08,144.80
1993,M07,144.50
1993,M06,144.30
1993,M05,144.20
1993,M04,143.80
1993,M03,143.30
1993,M02,143.10
1993,M01,142.80
1992,M12,142.30
1992,M11,142.10
1992,M10,141.70
1992,M09,141.10
1992,M08,140.80
1992,M07,140.50
1992,M06,140.10
1992,M05,139.70
1992,M04,139.40
1992,M03,139.10
1992,M02,138.60
1992,M01,138.30
1991,M12,138.20
1991,M11,137.80
1991,M10,137.20
1991,M09,137.00
1991,M08,136.60
1991,M07,136.20
1991,M06,136.00
1991,M05,135.60
1991,M04,135.10
1991,M03,134.80
1991,M02,134.80
1991,M01,134.70
1990,M12,134.20
1990,M11,133.70
1990,M10,133.40
1990,M09,132.50
1990,M08,131.60
1990,M07,130.50
1990,M06,129.90
1990,M05,129.10
1990,M04,128.90
1990,M03,128.60
1990,M02,128.00
1990,M01,127.50
1989,M12,126.30
1989,M11,125.90
1989,M10,125.40
1989,M09,124.80
1989,M08,124.50
1989,M07,124.50
1989,M06,124.10
1989,M05,123.70
1989,M04,123.10
1989,M03,122.20
1989,M02,121.60
1989,M01,121.20
1988,M12,120.70
1988,M11,120.30
1988,M10,119.90
1988,M09,119.50
1988,M08,119.00
1988,M07,118.50
1988,M06,118.00
1988,M05,117.50
1988,M04,117.20
1988,M03,116.50
1988,M02,116.20
1988,M01,116.00
1987,M12,115.60
1987,M11,115.40
1987,M10,115.00
1987,M09,114.70
1987,M08,114.30
1987,M07,113.80
1987,M06,113.50
1987,M05,113.00
1987,M04,112.70
