time_period,data_value
1929,8.787
1930,8.415
1931,7.514
1932,6.627
1933,6.391
1934,6.681
1935,6.846
1936,6.909
1937,7.16
1938,6.997
1939,6.929
1940,6.988
1941,7.423
1942,8.347
1943,9.115
1944,9.638
1945,10.024
1946,10.722
1947,11.809
1948,12.477
1949,12.379
1950,12.527
1951,13.38
1952,13.654
1953,13.834
1954,13.95
1955,14.005
1956,14.284
1957,14.718
1958,15.066
1959,15.29
1960,15.541
1961,15.702
1962,15.886
1963,16.077
1964,16.309
1965,16.544
1966,16.962
1967,17.389
1968,18.069
1969,18.883
1970,19.766
1971,20.605
1972,21.308
1973,22.455
1974,24.793
1975,26.86
1976,28.333
1977,30.176
1978,32.276
1979,35.143
1980,38.928
1981,42.415
1982,44.771
1983,46.676
1984,48.439
1985,50.128
1986,51.219
1987,52.802
1988,54.865
1989,57.261
1990,59.775
1991,61.774
1992,63.42
1993,65
1994,66.356
1995,67.754
1996,69.203
1997,70.407
1998,70.967
1999,72.001
2000,73.822
2001,75.302
2002,76.291
2003,77.894
2004,79.827
2005,82.127
2006,84.44
2007,86.607
2008,89.17
2009,88.921
2010,90.514
2011,92.804
2012,94.534
2013,95.781
2014,97.121
2015,97.299
2016,98.284
2017,100
2018,102.047
2019,103.513
2020,104.635
2021,109.001
2022,116.043
2023,120.38
