time_period,data_value
1959M01,16.042
1959M02,16.057
1959M03,16.068
1959M04,16.1
1959M05,16.109
1959M06,16.155
1959M07,16.189
1959M08,16.212
1959M09,16.255
1959M10,16.294
1959M11,16.304
1959M12,16.323
1960M01,16.314
1960M02,16.331
1960M03,16.34
1960M04,16.4
1960M05,16.417
1960M06,16.424
1960M07,16.453
1960M08,16.481
1960M09,16.491
1960M10,16.51
1960M11,16.565
1960M12,16.569
1961M01,16.571
1961M02,16.587
1961M03,16.578
1961M04,16.568
1961M05,16.577
1961M06,16.585
1961M07,16.621
1961M08,16.635
1961M09,16.654
1961M10,16.652
1961M11,16.653
1961M12,16.658
1962M01,16.689
1962M02,16.734
1962M03,16.756
1962M04,16.775
1962M05,16.786
1962M06,16.796
1962M07,16.787
1962M08,16.811
1962M09,16.894
1962M10,16.876
1962M11,16.889
1962M12,16.882
1963M01,16.923
1963M02,16.941
1963M03,16.928
1963M04,16.927
1963M05,16.954
1963M06,16.991
1963M07,17.025
1963M08,17.048
1963M09,17.044
1963M10,17.078
1963M11,17.102
1963M12,17.127
1964M01,17.163
1964M02,17.188
1964M03,17.198
1964M04,17.211
1964M05,17.213
1964M06,17.237
1964M07,17.259
1964M08,17.273
1964M09,17.299
1964M10,17.31
1964M11,17.334
1964M12,17.359
1965M01,17.378
1965M02,17.385
1965M03,17.408
1965M04,17.435
1965M05,17.474
1965M06,17.525
1965M07,17.538
1965M08,17.542
1965M09,17.55
1965M10,17.556
1965M11,17.585
1965M12,17.649
1966M01,17.67
1966M02,17.743
1966M03,17.786
1966M04,17.848
1966M05,17.87
1966M06,17.915
1966M07,17.949
1966M08,18.018
1966M09,18.075
1966M10,18.123
1966M11,18.15
1966M12,18.187
1967M01,18.188
1967M02,18.209
1967M03,18.22
1967M04,18.249
1967M05,18.285
1967M06,18.343
1967M07,18.405
1967M08,18.463
1967M09,18.519
1967M10,18.57
1967M11,18.632
1967M12,18.661
1968M01,18.748
1968M02,18.824
1968M03,18.886
1968M04,18.945
1968M05,19.015
1968M06,19.075
1968M07,19.134
1968M08,19.212
1968M09,19.279
1968M10,19.364
1968M11,19.43
1968M12,19.47
1969M01,19.546
1969M02,19.595
1969M03,19.687
1969M04,19.774
1969M05,19.854
1969M06,19.95
1969M07,20.037
1969M08,20.093
1969M09,20.176
1969M10,20.245
1969M11,20.332
1969M12,20.426
1970M01,20.499
1970M02,20.58
1970M03,20.631
1970M04,20.736
1970M05,20.802
1970M06,20.856
1970M07,20.932
1970M08,20.987
1970M09,21.081
1970M10,21.185
1970M11,21.269
1970M12,21.363
1971M01,21.408
1971M02,21.471
1971M03,21.542
1971M04,21.626
1971M05,21.717
1971M06,21.813
1971M07,21.879
1971M08,21.942
1971M09,21.975
1971M10,22.009
1971M11,22.054
1971M12,22.141
1972M01,22.232
1972M02,22.319
1972M03,22.351
1972M04,22.386
1972M05,22.434
1972M06,22.469
1972M07,22.549
1972M08,22.615
1972M09,22.716
1972M10,22.741
1972M11,22.809
1972M12,22.882
1973M01,22.951
1973M02,23.072
1973M03,23.235
1973M04,23.408
1973M05,23.523
1973M06,23.658
1973M07,23.744
1973M08,24.017
1973M09,24.113
1973M10,24.249
1973M11,24.448
1973M12,24.649
1974M01,24.885
1974M02,25.175
1974M03,25.467
1974M04,25.647
1974M05,25.9
1974M06,26.119
1974M07,26.312
1974M08,26.587
1974M09,26.863
1974M10,27.056
1974M11,27.259
1974M12,27.474
1975M01,27.645
1975M02,27.795
1975M03,27.889
1975M04,27.984
1975M05,28.095
1975M06,28.271
1975M07,28.514
1975M08,28.637
1975M09,28.779
1975M10,28.946
1975M11,29.132
1975M12,29.293
1976M01,29.405
1976M02,29.442
1976M03,29.486
1976M04,29.553
1976M05,29.695
1976M06,29.824
1976M07,29.975
1976M08,30.14
1976M09,30.31
1976M10,30.469
1976M11,30.607
1976M12,30.778
1977M01,30.957
1977M02,31.199
1977M03,31.356
1977M04,31.538
1977M05,31.698
1977M06,31.875
1977M07,32.041
1977M08,32.19
1977M09,32.311
1977M10,32.461
1977M11,32.648
1977M12,32.806
1978M01,33
1978M02,33.153
1978M03,33.368
1978M04,33.621
1978M05,33.861
1978M06,34.082
1978M07,34.269
1978M08,34.442
1978M09,34.638
1978M10,34.913
1978M11,35.112
1978M12,35.276
1979M01,35.542
1979M02,35.732
1979M03,36.011
1979M04,36.386
1979M05,36.763
1979M06,37.066
1979M07,37.349
1979M08,37.635
1979M09,37.967
1979M10,38.276
1979M11,38.542
1979M12,38.866
1980M01,39.273
1980M02,39.699
1980M03,40.186
1980M04,40.396
1980M05,40.71
1980M06,40.967
1980M07,41.285
1980M08,41.629
1980M09,42.014
1980M10,42.351
1980M11,42.696
1980M12,42.973
1981M01,43.386
1981M02,43.825
1981M03,44.13
1981M04,44.323
1981M05,44.522
1981M06,44.699
1981M07,44.969
1981M08,45.25
1981M09,45.524
1981M10,45.73
1981M11,45.976
1981M12,46.118
1982M01,46.392
1982M02,46.531
1982M03,46.651
1982M04,46.675
1982M05,46.951
1982M06,47.292
1982M07,47.572
1982M08,47.72
1982M09,47.852
1982M10,48.121
1982M11,48.265
1982M12,48.338
1983M01,48.564
1983M02,48.646
1983M03,48.709
1983M04,48.931
1983M05,49.07
1983M06,49.253
1983M07,49.53
1983M08,49.743
1983M09,49.916
1983M10,50.002
1983M11,50.072
1983M12,50.1
1984M01,50.318
1984M02,50.656
1984M03,50.823
1984M04,51.016
1984M05,51.08
1984M06,51.171
1984M07,51.354
1984M08,51.512
1984M09,51.582
1984M10,51.704
1984M11,51.776
1984M12,51.922
1985M01,52.182
1985M02,52.424
1985M03,52.629
1985M04,52.706
1985M05,52.831
1985M06,52.974
1985M07,53.104
1985M08,53.28
1985M09,53.37
1985M10,53.459
1985M11,53.614
1985M12,53.795
1986M01,54.042
1986M02,54.042
1986M03,53.924
1986M04,53.813
1986M05,53.912
1986M06,54.112
1986M07,54.126
1986M08,54.194
1986M09,54.371
1986M10,54.469
1986M11,54.566
1986M12,54.64
1987M01,54.895
1987M02,55.088
1987M03,55.233
1987M04,55.439
1987M05,55.58
1987M06,55.791
1987M07,55.919
1987M08,56.14
1987M09,56.329
1987M10,56.508
1987M11,56.616
1987M12,56.72
1988M01,56.941
1988M02,57.024
1988M03,57.221
1988M04,57.499
1988M05,57.666
1988M06,57.912
1988M07,58.193
1988M08,58.366
1988M09,58.65
1988M10,58.841
1988M11,58.978
1988M12,59.162
1989M01,59.465
1989M02,59.663
1989M03,59.885
1989M04,60.284
1989M05,60.504
1989M06,60.637
1989M07,60.782
1989M08,60.789
1989M09,60.924
1989M10,61.162
1989M11,61.296
1989M12,61.473
1990M01,61.939
1990M02,62.212
1990M03,62.446
1990M04,62.577
1990M05,62.718
1990M06,62.995
1990M07,63.151
1990M08,63.571
1990M09,63.961
1990M10,64.327
1990M11,64.409
1990M12,64.469
1991M01,64.714
1991M02,64.747
1991M03,64.76
1991M04,64.878
1991M05,65.147
1991M06,65.257
1991M07,65.36
1991M08,65.511
1991M09,65.737
1991M10,65.86
1991M11,66.005
1991M12,66.17
1992M01,66.26
1992M02,66.428
1992M03,66.589
1992M04,66.769
1992M05,66.857
1992M06,66.976
1992M07,67.197
1992M08,67.287
1992M09,67.397
1992M10,67.635
1992M11,67.768
1992M12,67.886
1993M01,68.052
1993M02,68.154
1993M03,68.294
1993M04,68.475
1993M05,68.687
1993M06,68.711
1993M07,68.82
1993M08,68.938
1993M09,69.01
1993M10,69.227
1993M11,69.358
1993M12,69.374
1994M01,69.397
1994M02,69.558
1994M03,69.75
1994M04,69.832
1994M05,69.933
1994M06,70.104
1994M07,70.325
1994M08,70.486
1994M09,70.565
1994M10,70.684
1994M11,70.819
1994M12,70.865
1995M01,71.008
1995M02,71.134
1995M03,71.265
1995M04,71.453
1995M05,71.563
1995M06,71.633
1995M07,71.722
1995M08,71.877
1995M09,71.926
1995M10,72.113
1995M11,72.111
1995M12,72.249
1996M01,72.41
1996M02,72.524
1996M03,72.743
1996M04,72.961
1996M05,73.087
1996M06,73.086
1996M07,73.241
1996M08,73.31
1996M09,73.517
1996M10,73.74
1996M11,73.871
1996M12,73.956
1997M01,74.052
1997M02,74.208
1997M03,74.286
1997M04,74.359
1997M05,74.324
1997M06,74.42
1997M07,74.464
1997M08,74.524
1997M09,74.704
1997M10,74.801
1997M11,74.804
1997M12,74.788
1998M01,74.825
1998M02,74.787
1998M03,74.799
1998M04,74.891
1998M05,74.994
1998M06,74.931
1998M07,75.116
1998M08,75.22
1998M09,75.176
1998M10,75.341
1998M11,75.345
1998M12,75.42
1999M01,75.527
1999M02,75.484
1999M03,75.541
1999M04,75.906
1999M05,75.955
1999M06,75.979
1999M07,76.181
1999M08,76.319
1999M09,76.593
1999M10,76.723
1999M11,76.792
1999M12,76.97
2000M01,77.18
2000M02,77.422
2000M03,77.755
2000M04,77.69
2000M05,77.755
2000M06,78.019
2000M07,78.214
2000M08,78.209
2000M09,78.545
2000M10,78.652
2000M11,78.762
2000M12,78.883
2001M01,79.265
2001M02,79.388
2001M03,79.395
2001M04,79.534
2001M05,79.743
2001M06,79.885
2001M07,79.858
2001M08,79.848
2001M09,79.577
2001M10,79.857
2001M11,79.803
2001M12,79.721
2002M01,79.793
2002M02,79.926
2002M03,80.144
2002M04,80.479
2002M05,80.531
2002M06,80.632
2002M07,80.81
2002M08,80.969
2002M09,81.115
2002M10,81.262
2002M11,81.343
2002M12,81.421
2003M01,81.664
2003M02,82.009
2003M03,82.219
2003M04,82.08
2003M05,81.986
2003M06,82.074
2003M07,82.315
2003M08,82.593
2003M09,82.852
2003M10,82.862
2003M11,82.967
2003M12,83.15
2004M01,83.471
2004M02,83.649
2004M03,83.778
2004M04,83.934
2004M05,84.206
2004M06,84.447
2004M07,84.525
2004M08,84.569
2004M09,84.735
2004M10,85.099
2004M11,85.427
2004M12,85.473
2005M01,85.585
2005M02,85.823
2005M03,86.08
2005M04,86.321
2005M05,86.37
2005M06,86.423
2005M07,86.79
2005M08,87.14
2005M09,87.981
2005M10,88.121
2005M11,87.938
2005M12,87.938
2006M01,88.364
2006M02,88.417
2006M03,88.588
2006M04,88.999
2006M05,89.239
2006M06,89.459
2006M07,89.765
2006M08,90.047
2006M09,89.812
2006M10,89.599
2006M11,89.63
2006M12,89.949
2007M01,90.249
2007M02,90.529
2007M03,90.861
2007M04,91.074
2007M05,91.339
2007M06,91.532
2007M07,91.672
2007M08,91.734
2007M09,92.088
2007M10,92.367
2007M11,92.856
2007M12,93.072
2008M01,93.307
2008M02,93.492
2008M03,93.76
2008M04,93.934
2008M05,94.337
2008M06,95.021
2008M07,95.463
2008M08,95.386
