time_period,data_value
1947Q1,11.557
1947Q2,11.649
1947Q3,11.866
1947Q4,12.162
1948Q1,12.297
1948Q2,12.424
1948Q3,12.614
1948Q4,12.574
1949Q1,12.475
1949Q2,12.399
1949Q3,12.327
1949Q4,12.317
1950Q1,12.297
1950Q2,12.356
1950Q3,12.614
1950Q4,12.839
1951Q1,13.247
1951Q2,13.353
1951Q3,13.371
1951Q4,13.548
1952Q1,13.606
1952Q2,13.603
1952Q3,13.692
1952Q4,13.715
1953Q1,13.766
1953Q2,13.786
1953Q3,13.861
1953Q4,13.921
1954Q1,13.991
1954Q2,13.972
1954Q3,13.926
1954Q4,13.912
1955Q1,13.957
1955Q2,13.971
1955Q3,14.026
1955Q4,14.064
1956Q1,14.122
1956Q2,14.217
1956Q3,14.356
1956Q4,14.44
1957Q1,14.57
1957Q2,14.662
1957Q3,14.781
1957Q4,14.858
1958Q1,15.041
1958Q2,15.069
1958Q3,15.08
1958Q4,15.074
1959Q1,15.177
1959Q2,15.239
1959Q3,15.331
1959Q4,15.415
1960Q1,15.435
1960Q2,15.515
1960Q3,15.574
1960Q4,15.642
1961Q1,15.671
1961Q2,15.67
1961Q3,15.726
1961Q4,15.743
1962Q1,15.811
1962Q2,15.867
1962Q3,15.91
1962Q4,15.958
1963Q1,16.004
1963Q2,16.029
1963Q3,16.107
1963Q4,16.166
1964Q1,16.243
1964Q2,16.278
1964Q3,16.331
1964Q4,16.385
1965Q1,16.438
1965Q2,16.522
1965Q3,16.583
1965Q4,16.634
1966Q1,16.763
1966Q2,16.899
1966Q3,17.028
1966Q4,17.16
1967Q1,17.209
1967Q2,17.291
1967Q3,17.452
1967Q4,17.602
1968Q1,17.789
1968Q2,17.971
1968Q3,18.157
1968Q4,18.358
1969Q1,18.536
1969Q2,18.772
1969Q3,19.002
1969Q4,19.221
1970Q1,19.444
1970Q2,19.659
1970Q3,19.851
1970Q4,20.108
1971Q1,20.299
1971Q2,20.53
1971Q3,20.732
1971Q4,20.86
1972Q1,21.08
1972Q2,21.202
1972Q3,21.388
1972Q4,21.562
1973Q1,21.823
1973Q2,22.242
1973Q3,22.647
1973Q4,23.11
1974Q1,23.798
1974Q2,24.472
1974Q3,25.132
1974Q4,25.771
1975Q1,26.256
1975Q2,26.578
1975Q3,27.076
1975Q4,27.53
